State,1970,1980,1990,2000,2010,2020,2021,2022
United States (Average Rent),"$1,296 ","$2,916 ","$5,364 ","$7,224 ","$10,260 ","$13,152 ","$14,292 ","$15,600 "

United States (Average Salary),"$8,626","$15,970","$31,367","$41,807","$55,370","$64,133","$65,293","$66,397"
